id,category_id,brand_id,name,model,description,image_url,specifications,created_at
1,1,11,HP Victus 14GK13,Victus-14GK13,"Portátil HP Victus con procesador Intel Core i3-1215U, 16GB RAM, 512GB SSD, pantalla de 14"".",https://images.example.com/products/1.jpg,"{""processor"": ""Intel Core i3-1215U"", ""ram_gb"": 16, ""storage"": ""512GB SSD"", ""screen_size"": ""14\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""NVIDIA GeForce RTX 4060"", ""weight_kg"": 1.3, ""battery_hours"": 7}",
2,1,2,Asus TUF Gaming 15BR45,TUF Gaming-15BR45,"Portátil Asus TUF Gaming con procesador AMD Ryzen 7 7730U, 8GB RAM, 256GB SSD, pantalla de 15.6"".",https://images.example.com/products/2.jpg,"{""processor"": ""AMD Ryzen 7 7730U"", ""ram_gb"": 8, ""storage"": ""256GB SSD"", ""screen_size"": ""15.6\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""NVIDIA GeForce RTX 4060"", ""weight_kg"": 1.9, ""battery_hours"": 9}",
3,1,8,Dell Vostro 16GR56,Vostro-16GR56,"Portátil Dell Vostro con procesador AMD Ryzen 7 7730U, 64GB RAM, 512GB SSD, pantalla de 16"".",https://images.example.com/products/3.jpg,"{""processor"": ""AMD Ryzen 7 7730U"", ""ram_gb"": 64, ""storage"": ""512GB SSD"", ""screen_size"": ""16\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""AMD Radeon RX 7600S"", ""weight_kg"": 1.6, ""battery_hours"": 6}",
4,1,28,Samsung Galaxy Book Pro 14FS12,Galaxy Book Pro-14FS12,"Portátil Samsung Galaxy Book Pro con procesador Intel Core i5-1335U, 16GB RAM, 512GB SSD, pantalla de 16"".",https://images.example.com/products/4.jpg,"{""processor"": ""Intel Core i5-1335U"", ""ram_gb"": 16, ""storage"": ""512GB SSD"", ""screen_size"": ""16\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""AMD Radeon Graphics"", ""weight_kg"": 1.4, ""battery_hours"": 9}",
5,1,18,Lenovo Yoga 15CS41,Yoga-15CS41,"Portátil Lenovo Yoga con procesador Intel Core i7-1365U, 32GB RAM, 256GB SSD, pantalla de 17.3"".",https://images.example.com/products/5.jpg,"{""processor"": ""Intel Core i7-1365U"", ""ram_gb"": 32, ""storage"": ""256GB SSD"", ""screen_size"": ""17.3\"""", ""operating_system"": ""Windows 11 Home"", ""gpu"": null, ""weight_kg"": 2.5, ""battery_hours"": 10}",
6,1,18,Lenovo LOQ 17DR17,LOQ-17DR17,"Portátil Lenovo LOQ con procesador Intel Core Ultra 9 185H, 8GB RAM, 256GB SSD, pantalla de 15.6"".",https://images.example.com/products/6.jpg,"{""processor"": ""Intel Core Ultra 9 185H"", ""ram_gb"": 8, ""storage"": ""256GB SSD"", ""screen_size"": ""15.6\"""", ""operating_system"": ""Windows 11 Home"", ""gpu"": null, ""weight_kg"": 1.5, ""battery_hours"": 4}",
7,1,18,Lenovo LOQ 14DQ46,LOQ-14DQ46,"Portátil Lenovo LOQ con procesador Intel Core i3-1215U, 8GB RAM, 512GB SSD + 1TB HDD, pantalla de 15.6"".",https://images.example.com/products/7.jpg,"{""processor"": ""Intel Core i3-1215U"", ""ram_gb"": 8, ""storage"": ""512GB SSD + 1TB HDD"", ""screen_size"": ""15.6\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""NVIDIA GeForce RTX 3050"", ""weight_kg"": 1.5, ""battery_hours"": 12}",
8,1,18,Lenovo LOQ 15AP56,LOQ-15AP56,"Portátil Lenovo LOQ con procesador AMD Ryzen 7 7840HS, 8GB RAM, 1TB SSD, pantalla de 17.3"".",https://images.example.com/products/8.jpg,"{""processor"": ""AMD Ryzen 7 7840HS"", ""ram_gb"": 8, ""storage"": ""1TB SSD"", ""screen_size"": ""17.3\"""", ""operating_system"": ""Windows 11 Home"", ""gpu"": ""AMD Radeon Graphics"", ""weight_kg"": 2.6, ""battery_hours"": 4}",
9,1,8,Dell G Series 16GQ13,G Series-16GQ13,"Portátil Dell G Series con procesador Intel Core i7-1365U, 64GB RAM, 1TB SSD, pantalla de 16"".",https://images.example.com/products/9.jpg,"{""processor"": ""Intel Core i7-1365U"", ""ram_gb"": 64, ""storage"": ""1TB SSD"", ""screen_size"": ""16\"""", ""operating_system"": ""Windows 11 Home"", ""gpu"": ""NVIDIA GeForce RTX 4060"", ""weight_kg"": 1.4, ""battery_hours"": 8}",
10,1,11,HP Victus 15DR95,Victus-15DR95,"Portátil HP Victus con procesador AMD Ryzen 9 7845HX, 32GB RAM, 2TB SSD, pantalla de 16"".",https://images.example.com/products/10.jpg,"{""processor"": ""AMD Ryzen 9 7845HX"", ""ram_gb"": 32, ""storage"": ""2TB SSD"", ""screen_size"": ""16\"""", ""operating_system"": ""Windows 11 Pro"", ""gpu"": ""AMD Radeon Graphics"", ""weight_kg"": 2.7, ""battery_hours"": 14}",
